Swedish,English,Category,Example,Article
löneförhandling,salary negotiation,work,Det är viktigt att trivas på sin löneförhandling.,en
spegelbild,reflection,adjectives,Han är väldigt spegelbild.,en
gästfri,hospitable,adjectives,Han är väldigt gästfri.,—
blöja,nappy/diaper,childcare,Barnet behöver blöja varje dag.,en
napp,pacifier/dummy,childcare,Barnet behöver napp varje dag.,en
barnvagn,pram/stroller,childcare,Barnet behöver barnvagn varje dag.,en
spjälsäng,cot/crib,childcare,Barnet behöver spjälsäng varje dag.,en
nappflaska,baby bottle,childcare,Barnet behöver nappflaska varje dag.,en
välling,infant cereal/porridge,childcare,Barnet behöver välling varje dag.,en
förskola,preschool,childcare,Barnet behöver förskola varje dag.,en
dagis,daycare (informal),childcare,Barnet behöver dagis varje dag.,ett
barnvakt,babysitter,childcare,Barnet behöver barnvakt varje dag.,en
leksak,toy,childcare,Barnet behöver leksak varje dag.,en
matstol,highchair,childcare,Barnet behöver matstol varje dag.,en
vagga,cradle,childcare,Barnet behöver vagga varje dag.,en
sparkdräkt,babygro/sleepsuit,childcare,Barnet behöver sparkdräkt varje dag.,en
amning,breastfeeding,childcare,Barnet behöver amning varje dag.,en
tupplur,nap,childcare,Barnet behöver tupplur varje dag.,en
blöjbyte,nappy change,childcare,Barnet behöver blöjbyte varje dag.,ett
babymonitor,baby monitor,childcare,Barnet behöver babymonitor varje dag.,en
napphållare,dummy clip,childcare,Barnet behöver napphållare varje dag.,en
hosta,cough,health,hosta är viktigt för god hälsa.,en
förkyld,having a cold,health,förkyld är viktigt för god hälsa.,—
vantar,gloves,clothing,Hon hade en fin vantar på sig.,en
torkskåp,drying cabinet,furniture,Det finns en torkskåp i vardagsrummet.,ett
uppsättning,set,basic,uppsättning är ett vanligt ord på svenska.,en
en del,some/a part of,basic,en del är ett vanligt ord på svenska.,en
några,some/a few,basic,några är ett vanligt ord på svenska.,—
en sak,a thing / an item,basic,en sak är ett vanligt ord på svenska.,en
möjligtvis,possibly,basic,möjligtvis är ett vanligt ord på svenska.,—
stjärna,star,nature,En stjärna syns ute i naturen.,en
lådan,the box,home,Vi renoverar lådan hemma.,en
redan,already,basic,redan är ett vanligt ord på svenska.,—
blöt,wet,adjectives,Han är väldigt blöt.,—
ju,you know / of course,basic,ju är ett vanligt ord på svenska.,—
verkligen,really / truly,basic,verkligen är ett vanligt ord på svenska.,—
iskallt,ice cold,adjectives,Han är väldigt iskallt.,—
en verktygslåda,toolbox,tools,Jag använder en verktygslåda när jag bygger.,en
en såg,saw,tools,Jag använder en såg när jag bygger.,en
en hammare,hammer,tools,Jag använder en hammare när jag bygger.,en
en spik,nail,tools,Jag använder en spik när jag bygger.,en
en tång,pliers / tongs,tools,Jag använder en tång när jag bygger.,en
en tumstock,folding ruler,tools,Jag använder en tumstock när jag bygger.,en
en koja,hut / den / treehouse,home,Vi renoverar en koja hemma.,en
fartlig,exciting / dangerous,adjectives,Han är väldigt fartlig.,—
en lek,game / play,hobbies,Min hobby är en lek.,en
flyger högt,flies high,basic,flyger högt är ett vanligt ord på svenska.,—
en helikopter,helicopter,transport,Vi åker med en helikopter till stan.,en
ett äventyr,adventure,basic,ett äventyr är ett vanligt ord på svenska.,ett
en djungel,jungle,nature,En en djungel syns ute i naturen.,en
ett djur,animal,animals,En ett djur lever ute i naturen.,ett
en fantasi,fantasy / imagination,basic,en fantasi är ett vanligt ord på svenska.,en
en verklighet,reality,basic,en verklighet är ett vanligt ord på svenska.,en
ha tråkigt,to be bored,basic,ha tråkigt är ett vanligt ord på svenska.,—
pallen,the stool / the pallet,furniture,Det finns en pallen i vardagsrummet.,en
trasig,broken,adjectives,Han är väldigt trasig.,—
finns,there is/there are,basic,Det finns en park nära skolan.,—
svänger,turns/swings,basic,Bilen svänger till höger vid korsningen.,—
för att,in order to,basic,Jag studerar för att lära mig svenska.,—
genom att,by (doing),basic,Du lär dig bäst genom att öva varje dag.,—
därför att,because,basic,Jag stannar hemma därför att jag är sjuk.,—
eftersom,because/since,basic,Han är trött eftersom han inte sov i natt.,—
rutschkana,playground slide,childcare,Barnet åker rutschkana i lekparken.,en
möjlighet,possibility/opportunity,basic,Det finns en möjlighet att vinna priset.,en
vandra,to hike/wander,hobbies,Vi vill vandra i fjällen i sommar.,—
höjdrädd,afraid of heights,adjectives,Han är höjdrädd och vågar inte klättra.,—
att skada sig själv,to hurt oneself,health,Man ska undvika att skada sig själv.,—
att falla,to fall,health,Det är farligt att falla från en stege.,—
skillnad,difference,basic,Det finns en stor skillnad mellan dem.,en
snorig,snotty/runny-nosed,health,Barnet är snorig och behöver en näsduk.,—
illamående,nausea/feeling sick,health,Hon kände illamående efter bilresan.,ett
kräks,vomits,health,Barnet kräks när det är sjukt.,—
skölja,to rinse,kitchen,Kom ihåg att skölja håret ordentligt.,—
blöta,to soak/drench,home,Han måste blöta tvätten innan han tvättar den.,—
sådan,such/like that,basic,Jag har aldrig sett en sådan vacker solnedgång.,—
att ta fram,to bring out/take out,basic,Det är dags att ta fram jackan nu.,—
att göra ont,to hurt/be painful,health,Såret börjar att göra ont igen.,—
att ha tråkigt,to be bored,emotions,Det är synd att ha tråkigt på semestern.,—
att vara tråkigt,to be boring,adjectives,Ingen vill att vara tråkigt i andras ögon.,—
tråkigt,boring/dull,adjectives,Det är tråkigt när det regnar.,—
brädor,boards/planks,tools,Han sågade brädor till staket.,en
att slå,to hit/beat,basic,Det är fel att slå någon.,—
äntligen,finally/at last,basic,Äntligen är sommaren här!,—
att följa med,to come along/join,basic,Det är kul att följa med på resor.,—
att kliva av,to get off (transport),transport,Det är dags att kliva av bussen nu.,—
tv-nyheter,TV news,technology,Jag tittar på tv-nyheter varje kväll.,en
att undra,to wonder,basic,Det är naturligt att undra om det stämmer.,—
daghem,daycare center,childcare,Barnet går på daghem varje dag.,ett
färdig,ready / done,adjectives,Är du färdig med läxorna?,—
kvar,remaining / left,basic,Det finns ingenting kvar i kylen.,—
låg med,lay with (past of ligga med),basic,Katten låg med ungarna i korgen.,—
var där,was there,basic,Hon var där när det hände.,—
däck,deck / tire,basic,Vi satt på däcket och tittade på havet.,ett
jobbigt,tough / difficult,adjectives,Det är jobbigt att lära sig ett nytt språk.,—
förresten,by the way,basic,Förresten glömde jag berätta något viktigt.,—
mysigt,cozy / cosy,adjectives,Det är mysigt att sitta inne när det regnar.,—
äcklig,disgusting / gross,adjectives,Den gamla maten luktar äcklig.,—
tvärs över,across,basic,Han sprang tvärs över gatan.,—
tejp,tape,basic,Kan du ge mig tejpen?,en
därute,out there,basic,Det är kallt därute idag.,—
genast,immediately / at once,basic,Kom hit genast!,—
